controller	idle_floor_config	num_cycles	wait_time	wait_time_interval	idle_time	idle_time_interval
Nearest	(2, 3, 3)	394	3.315394477465845	0.026607071894663836	0.34179798840138914	0.011803337498107984
Random	(2, 3, 6)	155	4.483685792861079	0.03310963121127192	0.5681939674096786	0.011939856513325737
Zoning	(2, 3, 6)	182	3.964908109361879	0.033203175185739175	0.47214094620069386	0.01219967100483982
Nearest	(2, 3, 6)	318	3.5112759198130887	0.03159848520026335	0.35133230975231233	0.011403622068568502
Random	(1, 1, 3)	145	4.545030851062523	0.032896755631242114	0.560069079442012	0.01111249794070582
Zoning	(1, 1, 3)	125	4.33527982958233	0.03473569001308608	0.40458754221363896	0.01215915534494953
Nearest	(1, 1, 3)	303	3.6469173703223476	0.03222663956138945	0.32287546181723387	0.010610944357995698
Random	(1, 1, 6)	117	4.661594969569836	0.03228344605075847	0.5258206966621738	0.011676477824996409
Zoning	(1, 1, 6)	118	4.2369047183161905	0.0340739527980317	0.40521017382526214	0.01038477151598603
Nearest	(1, 1, 6)	266	3.858840311215648	0.03127594346453904	0.3416724659867891	0.010688742253924162
Random	(1, 5, 6)	149	4.587154612355988	0.03328918593993262	0.5434004190585123	0.012764812647168985
Zoning	(1, 5, 6)	144	4.100690889942742	0.02980923509119778	0.43146153863363773	0.011563498060782986
Nearest	(1, 5, 6)	312	3.7474892664757755	0.030896694329453696	0.36008201189227024	0.011259960632813804
Random	(2, 2, 4)	181	4.386065926433415	0.0351063546259909	0.5962042784879565	0.013116949775181484
Zoning	(2, 2, 4)	167	4.147225568024689	0.03155377353049108	0.4558563526944513	0.012779149279638425
Nearest	(2, 2, 4)	365	3.4007814966787393	0.029072884291680867	0.3382181267198522	0.010846094699204304
Random	(3, 5, 5)	164	4.371807195237987	0.042721766275723265	0.5870097519239856	0.012329350843731388
Zoning	(3, 5, 5)	175	4.141981399745709	0.03210514902929711	0.4565378199193315	0.011886174593801067
Nearest	(3, 5, 5)	354	3.3824118777426024	0.030981876196560308	0.3616702531711596	0.011220340533359593
Random	(4, 4, 6)	150	4.4371722127730235	0.03353426077967714	0.5829196679339833	0.011156163899799265
Zoning	(4, 4, 6)	163	4.094270711016239	0.03440905969672241	0.4604904837616611	0.011460697912583492
Nearest	(4, 4, 6)	350	3.4346120845880117	0.029107597850262786	0.36690972756990287	0.010661631248461142
Random	(1, 2, 4)	146	4.463334538765858	0.03839234404943957	0.5785399129367013	0.01296372059390235
Zoning	(1, 2, 4)	171	4.1690455971735565	0.034814884150479945	0.4387750944936403	0.012653615834849334
Nearest	(1, 2, 4)	347	3.502367177623242	0.027233987005401982	0.3237397233390687	0.010837398261932599
Random	(2, 5, 6)	150	4.497940451153386	0.02870984721396285	0.5593101082727746	0.01216022578039921
Zoning	(2, 5, 6)	154	4.0837909987576255	0.034961529312169656	0.44786862298003477	0.011996518277094895
Nearest	(2, 5, 6)	313	3.5806782933120607	0.03327307701751193	0.3564255198791302	0.010826620919242051
Random	(4, 5, 5)	183	4.399965813554034	0.03181740292979086	0.5937759572037142	0.012383344939284656
Zoning	(4, 5, 5)	178	4.207307656026663	0.03067546145419143	0.44708084379888074	0.012404693881064775
Nearest	(4, 5, 5)	379	3.368013197758965	0.02909959703175223	0.3685063038818937	0.010968527360405319
Random	(4, 6, 6)	156	4.539642457912994	0.032417029050748336	0.5522467905328846	0.012791589399620027
Zoning	(4, 6, 6)	130	4.358531375558055	0.0323825772622146	0.4020725953941874	0.011105714394077155
Nearest	(4, 6, 6)	302	3.6359699391578326	0.031328800659940606	0.3755494839309693	0.011563780496692384
Random	(6, 6, 6)	112	4.703063458857396	0.030624899246947033	0.5264522239160974	0.011957747135571396
Zoning	(6, 6, 6)	103	4.516438635269486	0.028319842978891695	0.38350705639567934	0.010417312524542281
Nearest	(6, 6, 6)	287	3.810248785638556	0.033457736001971015	0.39367808999915216	0.01073550517855919
Random	(1, 4, 4)	160	4.436325146696424	0.028244839316270157	0.5886420015085121	0.011781970684819133
Zoning	(1, 4, 4)	181	4.023088392325573	0.03219860983413316	0.46971389964329757	0.012279181527520973
Nearest	(1, 4, 4)	341	3.463922612844905	0.030023329339318405	0.34265267600636046	0.010933592805692092
Random	(5, 5, 5)	146	4.457565505934907	0.03141150197112448	0.5815768626547458	0.012246808470531048
Zoning	(5, 5, 5)	154	4.265513372539299	0.03302032388973534	0.4386430286878132	0.012967931640843321
Nearest	(5, 5, 5)	391	3.4879901422275013	0.030632369469921438	0.37194537437092123	0.010735111498582079
Random	(3, 4, 6)	169	4.406546709448058	0.031434096143106126	0.5818504559652976	0.013012553515549499
Zoning	(3, 4, 6)	175	4.0033593663203195	0.02964562197582621	0.46640683551891243	0.012802353692690586
Nearest	(3, 4, 6)	343	3.41582432741772	0.03173584114729516	0.3664140926216527	0.0114668101381747
Random	(3, 3, 4)	200	4.301265651672486	0.03593959718587015	0.6152788831689385	0.01240957105714047
Zoning	(3, 3, 4)	192	4.083463618690328	0.03157654841425382	0.480328924726016	0.012606523298477
Nearest	(3, 3, 4)	375	3.211125501751881	0.030361045133610914	0.35234533314572863	0.011522762963175311
Random	(1, 3, 5)	157	4.431732373900075	0.029755898827866754	0.5746527525574835	0.01213833184913741
Zoning	(1, 3, 5)	179	3.9695264977750893	0.03441481403096305	0.47627120473241313	0.012900588894389185
Nearest	(1, 3, 5)	310	3.4996867409916628	0.031013847283644036	0.33835279962210557	0.01060113299136522
Random	(3, 6, 6)	154	4.524082512476487	0.03509785809959378	0.5539760254503742	0.012939887405130628
Zoning	(3, 6, 6)	147	4.269581049836384	0.028841754766699184	0.40681955849682216	0.011590734372809807
Nearest	(3, 6, 6)	296	3.6244467390473303	0.030653947571403658	0.37018300811153887	0.01090945007354159
Random	(2, 3, 5)	183	4.4056245933277305	0.02824355439154578	0.593072201940541	0.01295406968278302
Zoning	(2, 3, 5)	198	3.9554353619040534	0.0356227823920099	0.48962720384127356	0.012172087385526607
Nearest	(2, 3, 5)	319	3.361239395186218	0.03161771482416939	0.33862240413997147	0.011003032842618117
Random	(1, 1, 2)	126	4.574951042679541	0.03436941061861524	0.5433696196332054	0.012362928499153759
Zoning	(1, 1, 2)	123	4.4123385073536205	0.0329073914789143	0.39491561170350076	0.012277284394874258
Nearest	(1, 1, 2)	299	3.7537368100543347	0.029206556194311513	0.31487369747126365	0.010308468941719608
Random	(2, 4, 4)	187	4.361805425480386	0.03575841430180235	0.6093839092290134	0.012630698028311465
Zoning	(2, 4, 4)	185	4.007520615199234	0.033518522679068845	0.48366311848051796	0.013071388696937213
Nearest	(2, 4, 4)	368	3.3208077542121925	0.02817027338008752	0.3461897919410728	0.011096578918784615
Random	(1, 1, 5)	134	4.605682195397558	0.03385814493667293	0.5432264884263112	0.012220487588112047
